Fx,Fy,Fz,Tx,Ty,r,z
-3.4E-10,5.3E-12,1.317,3.7E-10,5.4E-10,0,0
-1.8E-10,-1.1E-12,1.217,-4.7E-10,4.2E-11,0,1
3.1E-10,-5.7E-11,1.124,1.4E-10,-2.1E-09,0,2
-9.4E-12,-1.3E-11,1.037,-3.3E-10,4.8E-10,0,3
2.9E-10,-2.4E-11,0.957,7.1E-11,-2.5E-09,0,4
-1.4E-12,2.4E-13,0.883,-1.5E-10,3.6E-10,0,5
1.7E-10,1.9E-12,0.815,6.3E-10,-1.6E-09,0,6
1.3E-11,-2.5E-12,0.753,-1.7E-10,-7.5E-11,0,7
2.3E-10,-3.5E-13,0.695,2.7E-10,-2.5E-09,0,8
-4.3E-11,-1.3E-11,0.642,3.5E-11,5.4E-10,0,9
2.5E-11,-1.0E-11,0.594,1.6E-10,-6.9E-10,0,10
1.4E-10,8.5E-13,0.549,3.6E-10,-1.8E-09,0,11
-1.3E-10,-9.5E-12,0.509,-2.2E-10,1.8E-09,0,12
-3.6E-11,1.5E-11,0.471,1.0E-10,6.7E-10,0,13
5.2E-11,9.4E-12,0.437,-4.1E-11,-9.0E-10,0,14
1.0E-10,-7.7E-12,0.406,1.6E-11,-1.9E-09,0,15
5.2E-02,-2.8E-11,1.315,3.5E-10,1.2E+00,1,0
4.8E-02,7.1E-12,1.215,5.2E-10,1.0E+00,1,1
4.5E-02,2.5E-11,1.122,1.0E-17,8.9E-01,1,2
4.2E-02,2.6E-11,1.036,-2.1E-10,7.8E-01,1,3
3.8E-02,1.6E-11,0.956,4.5E-10,6.8E-01,1,4
3.5E-02,2.3E-11,0.882,-1.3E-09,5.9E-01,1,5
3.3E-02,6.5E-12,0.814,2.7E-10,5.1E-01,1,6
3.0E-02,-2.6E-11,0.751,3.3E-10,4.5E-01,1,7
2.8E-02,4.0E-12,0.694,-2.7E-10,3.9E-01,1,8
2.5E-02,1.4E-11,0.641,9.0E-10,3.4E-01,1,9
2.3E-02,-2.8E-12,0.593,-1.3E-10,2.9E-01,1,10
2.1E-02,-4.7E-13,0.548,9.5E-10,2.5E-01,1,11
1.9E-02,-5.5E-12,0.508,-2.8E-10,2.2E-01,1,12
1.8E-02,-1.6E-11,0.471,-5.6E-10,1.9E-01,1,13
1.6E-02,-9.1E-12,0.436,-1.0E-09,1.6E-01,1,14
1.5E-02,1.3E-11,0.405,-4.6E-10,1.4E-01,1,15
1.0E-01,6.6E-11,1.310,8.1E-10,2.3E+00,2,0
9.7E-02,2.7E-11,1.210,-5.3E-10,2.0E+00,2,1
9.0E-02,-1.8E-11,1.117,1.0E-09,1.8E+00,2,2
8.3E-02,-1.4E-11,1.031,2.3E-10,1.5E+00,2,3
7.7E-02,1.5E-10,0.951,-2.9E-09,1.3E+00,2,4
7.1E-02,-1.8E-10,0.877,1.5E-09,1.2E+00,2,5
6.5E-02,-1.0E-10,0.810,3.0E-09,1.0E+00,2,6
6.0E-02,1.6E-11,0.747,2.6E-10,8.9E-01,2,7
5.5E-02,1.1E-10,0.690,-2.6E-09,7.7E-01,2,8
5.0E-02,7.9E-11,0.638,2.1E-09,6.7E-01,2,9
4.6E-02,4.8E-11,0.590,3.6E-11,5.8E-01,2,10
4.2E-02,-2.8E-11,0.546,-3.7E-10,5.0E-01,2,11
3.9E-02,5.8E-11,0.505,-2.0E-09,4.4E-01,2,12
3.6E-02,-3.2E-11,0.468,-7.8E-10,3.8E-01,2,13
3.3E-02,-1.9E-11,0.434,-3.1E-10,3.3E-01,2,14
3.0E-02,-3.3E-11,0.403,2.1E-09,2.8E-01,2,15
1.6E-01,5.4E-11,1.302,-4.5E-11,3.4E+00,3,0
1.4E-01,7.5E-12,1.202,-3.0E-10,3.0E+00,3,1
1.3E-01,-2.2E-11,1.109,4.8E-10,2.6E+00,3,2
1.2E-01,2.0E-11,1.023,-4.4E-10,2.3E+00,3,3
1.1E-01,2.8E-11,0.943,-1.5E-10,2.0E+00,3,4
1.1E-01,-2.9E-11,0.870,-3.7E-10,1.7E+00,3,5
9.7E-02,-7.2E-12,0.803,-1.7E-10,1.5E+00,3,6
8.9E-02,-6.4E-12,0.741,2.0E-10,1.3E+00,3,7
8.2E-02,-5.7E-13,0.684,3.2E-10,1.1E+00,3,8
7.5E-02,7.3E-12,0.632,8.5E-11,9.9E-01,3,9
6.9E-02,1.1E-11,0.585,4.3E-11,8.6E-01,3,10
6.3E-02,-1.5E-11,0.541,-1.8E-10,7.5E-01,3,11
5.8E-02,1.3E-11,0.501,7.6E-11,6.5E-01,3,12
5.3E-02,-5.8E-12,0.464,-3.5E-10,5.6E-01,3,13
4.9E-02,-5.1E-13,0.431,1.9E-10,4.9E-01,3,14
4.5E-02,1.3E-12,0.400,4.6E-10,4.2E-01,3,15
2.1E-01,-4.8E-11,1.289,6.3E-10,4.5E+00,4,0
1.9E-01,-1.9E-11,1.189,9.5E-10,4.0E+00,4,1
1.8E-01,1.4E-11,1.097,1.1E-09,3.4E+00,4,2
1.7E-01,-3.1E-11,1.011,-1.6E-10,3.0E+00,4,3
1.5E-01,7.7E-12,0.932,7.8E-11,2.6E+00,4,4
1.4E-01,3.3E-11,0.860,-2.3E-10,2.3E+00,4,5
1.3E-01,2.7E-11,0.793,8.8E-11,2.0E+00,4,6
1.2E-01,-1.4E-12,0.732,-2.6E-10,1.7E+00,4,7
1.1E-01,-4.3E-12,0.676,-1.9E-10,1.5E+00,4,8
1.0E-01,5.4E-12,0.625,-7.9E-10,1.3E+00,4,9
9.1E-02,8.1E-12,0.578,4.8E-10,1.1E+00,4,10
8.4E-02,1.6E-11,0.535,5.9E-10,9.8E-01,4,11
7.7E-02,3.8E-11,0.495,2.5E-10,8.5E-01,4,12
7.0E-02,-1.9E-12,0.459,3.9E-10,7.3E-01,4,13
6.5E-02,2.3E-12,0.426,-1.5E-10,6.4E-01,4,14
5.9E-02,-1.9E-11,0.395,-6.3E-10,5.5E-01,4,15
2.6E-01,2.5E-11,1.273,-1.1E-09,5.5E+00,5,0
2.4E-01,-3.5E-11,1.173,-1.3E-10,4.8E+00,5,1
2.2E-01,-2.3E-11,1.081,4.8E-10,4.2E+00,5,2
2.1E-01,3.4E-11,0.996,-6.8E-10,3.7E+00,5,3
1.9E-01,-3.3E-11,0.918,5.2E-10,3.2E+00,5,4
1.7E-01,-9.3E-12,0.847,1.6E-10,2.8E+00,5,5
1.6E-01,-7.3E-12,0.781,3.1E-10,2.4E+00,5,6
1.5E-01,-3.0E-11,0.721,3.7E-10,2.1E+00,5,7
1.3E-01,3.6E-12,0.666,7.4E-10,1.8E+00,5,8
1.2E-01,-7.6E-12,0.615,-2.0E-10,1.6E+00,5,9
1.1E-01,-1.8E-11,0.569,-1.6E-10,1.4E+00,5,10
1.0E-01,3.6E-12,0.527,-4.6E-10,1.2E+00,5,11
9.5E-02,5.3E-12,0.488,-1.5E-10,1.0E+00,5,12
8.7E-02,1.3E-11,0.452,5.4E-10,9.0E-01,5,13
8.0E-02,1.0E-11,0.420,-3.3E-10,7.8E-01,5,14
7.3E-02,-2.1E-12,0.390,-5.7E-10,6.7E-01,5,15
3.1E-01,3.9E-12,1.253,-5.6E-10,6.5E+00,6,0
2.9E-01,1.3E-11,1.153,2.3E-10,5.7E+00,6,1
2.7E-01,2.4E-11,1.062,-6.0E-10,4.9E+00,6,2
2.5E-01,4.3E-12,0.978,1.9E-11,4.3E+00,6,3
2.3E-01,4.0E-12,0.901,1.0E-09,3.7E+00,6,4
