x,y,z,runtime
-0.03,-9.97,-0.00,915
0.05,9.96,5.01,1460
10.01,-10.03,0.01,909
10.00,10.04,-0.01,795
5.04,-15.00,0.01,1001
10.07,9.99,9.99,1458
-9.99,-10.00,0.00,907
9.96,10.04,0.00,905
10.57,-0.25,15.00,800
-0.07,0.00,5.00,907
9.98,-10.04,-0.00,807
10.00,-9.98,-0.00,804
10.00,-9.99,-0.00,804
-9.96,-10.02,-0.00,805
9.94,-15.04,-0.00,798
9.98,10.03,0.00,906
-9.95,-0.00,0.02,908
-9.95,-10.00,0.01,910
-0.01,10.00,-0.01,803
-14.88,0.01,0.00,1001
-9.99,-10.03,0.00,907
-14.92,-10.01,-0.00,798
-0.02,0.02,0.02,909
-0.03,0.01,0.02,903
14.90,10.01,0.01,1560
-9.97,-9.98,4.96,1472
15.15,0.06,-0.01,793
0.13,-10.00,0.00,1002
-10.03,-10.06,5.01,1472
0.02,-9.93,15.01,810
-14.90,4.93,0.01,1003
-10.01,10.03,0.01,905
0.01,-4.94,0.00,897
-9.95,5.00,0.01,907
9.90,0.06,-0.00,804
-0.02,0.02,0.02,904
-14.80,0.02,5.01,1564
-0.01,10.02,0.00,999
-0.02,-9.97,0.00,902
-4.95,0.03,0.00,904
7.17,-0.01,0.00,903
-10.02,-10.04,-0.00,809
14.99,-0.22,15.00,806
10.00,10.04,-0.01,800
9.89,0.04,-0.01,801
-10.01,9.98,10.05,1460
-9.97,0.01,0.01,906
0.03,-4.94,-0.00,805
-4.96,0.02,0.00,904
9.97,-10.00,0.00,912
-14.98,-14.98,-0.00,808
-9.98,10.03,0.01,904
-0.01,-0.12,14.99,900
-0.07,-9.99,0.00,909
-9.98,9.94,0.01,905
0.05,-9.99,0.01,906
9.98,9.99,0.00,902
-9.94,9.95,5.01,1463
-0.02,0.02,0.02,898
-9.98,10.03,0.01,908
-9.95,-0.00,0.02,910
9.99,-10.01,-0.00,808
-4.96,0.02,0.00,903
0.01,0.02,-0.00,802
-4.97,4.64,4.97,1466
9.97,9.95,9.99,1465
-9.97,0.01,0.00,907
10.02,-10.00,14.98,908
-0.06,0.01,10.00,912
9.97,-0.01,-0.00,804
9.96,10.04,-0.00,802
-4.94,-4.97,-0.01,796
0.06,-9.98,-0.00,805
10.14,-0.00,9.99,1005
9.97,0.04,5.00,1459
10.02,-10.04,9.99,1464
-9.95,-9.93,0.01,909
14.82,-15.06,-0.01,809
-10.01,-4.98,0.01,898
5.03,0.10,-0.00,806
0.03,-9.98,0.00,902
-0.28,10.02,15.01,808
0.00,0.03,0.00,906
-9.95,10.02,0.01,904
9.95,-0.07,9.99,907
-9.98,10.03,0.00,906
0.00,0.02,-0.00,803
-0.02,0.02,0.02,904
0.01,-15.02,-0.01,807
-10.01,-4.98,0.01,906
-0.01,10.02,0.00,1000
-9.95,10.01,0.01,905
-4.97,-5.04,5.00,1457
-9.98,-10.00,0.00,907
9.83,9.92,10.02,1469
-9.97,-0.04,0.02,908
5.00,10.00,0.00,902
-5.08,-15.06,0.01,1002
-9.92,10.00,4.98,1458
0.04,-4.95,0.00,902
-0.03,10.01,0.00,999
-0.03,-20.01,-0.00,807
9.88,-9.91,14.99,1462
-0.02,0.02,0.02,905
-14.96,0.00,0.00,1005
-0.01,10.01,0.01,1562
-14.79,0.01,5.00,1567
9.95,-10.01,0.00,909
-10.02,-9.98,0.01,910
-10.00,-5.00,0.00,907
-4.99,-9.96,0.01,909
-9.94,-10.03,0.01,907
9.98,-9.99,-0.00,809
14.91,10.01,0.01,1556
10.03,-10.00,5.02,1461
10.00,-9.98,-0.00,804
0.03,-10.00,0.00,1004
-0.04,4.99,0.00,903
-0.01,10.01,0.00,999
-0.06,-10.02,4.96,1003
10.00,9.97,5.01,1468
-0.01,-15.03,9.98,2121
0.14,0.04,10.02,909
9.98,-10.01,-0.01,807
0.02,0.09,0.01,901
14.77,-0.06,10.01,2108
-9.96,-0.01,9.99,909
9.98,-10.01,0.00,906
-9.98,-0.01,0.01,907
10.02,-10.00,14.98,909
-9.98,10.07,0.00,902
-9.96,10.03,0.01,904
-9.99,-10.02,0.00,905
9.97,-10.00,0.00,910
-0.01,10.00,5.00,1458
-9.96,10.03,0.01,904
-4.99,-9.96,0.01,900
0.22,-10.00,-0.00,806
-0.03,0.01,-0.00,793
