x,y,z
-0.17,-20.05,0.01
0.10,-10.06,0.01
-4.97,-14.98,0.03
9.95,-10.04,0.01
-0.11,-0.04,5.01
9.94,-10.04,0.01
4.90,-5.01,5.00
9.89,-10.09,5.00
9.95,-5.06,-0.01
9.99,9.99,4.98
-0.04,10.04,0.02
9.98,-0.01,-0.02
-0.05,-0.02,0.00
-10.07,-0.06,5.02
-14.94,4.96,-0.03
5.05,-15.01,0.09
9.95,-10.04,0.01
9.97,-9.99,9.97
-0.05,-0.02,0.00
0.11,-10.06,0.01
9.77,-10.03,0.07
-5.08,5.05,-0.02
0.09,-10.06,0.01
-14.94,4.96,-0.03
9.98,-0.01,-0.02
-10.03,0.02,-0.00
0.02,0.14,5.01
4.78,-4.97,0.00
0.06,-10.01,5.01
0.08,-9.97,14.99
9.95,10.04,0.00
-10.03,0.02,-0.00
-5.06,0.00,0.02
-0.04,10.04,0.02
0.05,4.95,-0.03
10.00,9.83,5.00
-5.06,-0.00,0.01
9.95,-5.06,-0.02
9.97,-10.03,-0.01
0.03,-15.02,0.00
5.98,-0.04,0.00
-14.93,4.96,-0.03
-5.22,-0.19,14.90
-0.04,10.05,0.02
-5.02,15.01,-0.00
9.94,-10.04,0.01
5.98,-0.04,0.00
9.95,10.04,0.00
9.94,10.03,0.01
5.98,-0.04,0.00
9.74,0.46,15.06
-9.99,9.99,5.01
9.95,10.04,0.00
5.98,-0.04,0.00
-9.87,-10.17,5.02
-10.05,-4.99,0.05
5.98,-0.04,0.00
-0.17,-20.04,0.02
9.97,-10.04,0.01
-0.10,-0.06,5.00
-9.99,-10.00,5.02
9.94,-10.04,0.01
4.95,15.07,-0.02
-0.05,-0.02,0.00
4.77,-4.97,0.00
-9.98,-10.01,5.02
-0.05,-0.02,0.00
-9.95,-10.07,10.02
9.98,-0.01,-0.02
-19.98,0.04,-0.01
9.94,-10.04,0.01
9.98,-0.01,-0.02
-9.92,-10.10,5.02
-0.04,10.04,0.02
-10.03,0.02,0.00
-10.03,-9.95,0.00
-10.03,-9.95,0.00
9.98,-0.01,-0.02
0.01,-9.95,4.97
-0.04,-15.12,10.10
9.94,10.03,0.01
-0.02,-5.14,9.98
14.91,-15.02,0.05
-14.95,4.97,-0.02
9.98,9.97,0.00
0.02,-10.05,-0.01
-10.09,5.03,0.05
-0.05,-0.02,0.00
-15.06,9.87,-0.04
4.95,15.07,-0.02
-0.04,10.04,0.02
