x,y,z
-0.51,2.79,8.96
-1.55,0.02,4.64
0.01,0.02,6.08
0.35,5.05,9.95
-1.03,5.39,9.32
-0.51,5.22,9.32
-0.17,-0.15,6.44
1.56,0.72,5.27
0.87,0.20,8.15
0.35,5.05,9.95
-0.17,0.54,7.79
-0.17,3.66,9.50
0.18,0.02,5.00
0.35,0.37,6.62
-3.10,-0.32,4.10
0.35,0.37,5.72
1.04,0.54,5.81
1.04,0.37,7.25
0.01,0.02,5.00
-1.38,0.02,4.91
0.52,-0.15,9.77
0.87,0.37,5.63
-2.24,-0.32,4.28
-0.51,4.70,9.05
-0.51,5.91,8.87
0.18,0.02,5.00
-0.51,6.09,9.77
-0.69,6.26,10.04
-1.55,1.41,6.80
1.56,1.41,6.08
0.35,0.02,5.27
-0.17,6.26,10.13
0.01,0.02,5.00
0.18,4.87,9.86
0.18,2.10,9.05
2.08,0.89,6.17
-1.03,4.18,9.32
0.01,2.62,9.05
-1.38,1.24,8.15
0.35,0.72,4.91
1.04,0.72,6.26
0.01,0.54,5.45
0.35,0.37,5.00
1.56,0.89,4.91
2.25,1.24,6.62
0.52,0.54,5.09
0.52,0.72,5.00
0.70,0.72,4.91
0.35,0.37,5.00
0.52,0.54,5.00
-0.17,-0.15,4.73
0.35,0.02,5.63
-2.07,4.18,9.14
0.18,0.02,5.00
-1.72,0.02,4.64
0.01,3.66,8.42
0.52,5.05,9.77
-1.38,2.62,5.27
0.87,4.70,6.89
0.35,5.05,9.95
0.35,5.05,9.95
-1.89,-0.15,3.92
-1.20,-2.23,9.95
0.01,0.02,4.19
0.87,0.37,5.63
-3.45,-6.04,9.32
1.39,0.37,6.53
0.35,5.05,9.95
0.87,0.54,6.17
-2.59,-4.48,5.00
-2.07,-5.00,4.91
-3.79,-6.56,9.86
-3.79,-6.21,8.15
-3.10,-6.04,9.41
-1.72,-5.52,9.68
-2.59,-6.21,9.50
-4.66,-5.52,8.15
-1.20,-1.02,4.64
-3.10,-3.96,4.73
0.52,0.54,6.44
1.04,0.54,5.81
-5.35,-5.17,7.52
0.35,0.02,6.08
0.18,0.02,5.00
1.04,0.54,6.17
-2.41,-7.08,9.41
-3.79,-5.52,9.59
-0.34,-0.15,8.51
0.18,-0.15,5.99
0.52,0.20,5.45
0.18,-0.15,5.99
0.01,0.02,5.00
0.01,0.02,5.00
0.01,0.02,5.00
-0.17,-0.15,7.07
0.01,-0.15,5.27
0.01,0.02,5.00
-0.17,-0.15,7.43
0.18,-0.15,7.97
2.08,0.54,5.54
1.56,0.89,5.00
-5.52,-4.83,7.16
-3.62,-3.61,4.46
-1.03,-5.17,5.00
-0.51,-5.35,5.09
-1.38,-5.87,5.18
-1.20,-5.17,4.82
0.35,-4.83,5.18
-0.51,-5.00,4.82
0.01,-5.00,5.09
-2.41,-2.58,3.20
-0.51,-5.35,5.18
-8.29,-2.23,2.12
-4.14,-0.84,2.48
0.35,-5.00,5.81
0.01,0.72,4.91
-0.86,-0.84,4.91
0.52,0.37,4.91
-0.69,-0.15,4.73
-0.51,0.89,5.45
-3.97,-5.00,6.44
-2.93,-4.48,4.64
-3.10,-4.48,4.91
-0.34,-5.35,5.27
-3.10,-3.96,4.73
3.46,0.37,5.00
0.52,0.89,5.09
0.35,5.05,9.95
-0.51,0.72,5.09
-0.86,0.20,5.63
-1.03,-1.88,5.18
4.15,0.72,5.09
1.39,0.20,5.72
-0.34,-0.15,4.91
-0.51,-0.15,5.09
-0.69,-0.50,4.46
-0.86,-0.15,5.09
0.18,-0.15,5.63
1.04,0.54,6.17
-0.51,-0.15,6.35
1.21,0.37,6.08
1.39,0.89,5.00
1.39,0.72,5.00
0.70,0.89,5.00
0.01,0.02,4.91
-5.69,-5.17,7.97
-2.41,-7.43,6.17
-1.03,-8.64,5.27
-1.03,-8.98,5.18
-0.17,-9.68,5.27
-2.93,-6.04,9.59
-4.83,-5.52,9.86
0.52,0.54,7.16
0.01,-0.15,5.90
0.35,0.02,5.27
0.52,5.22,10.13
0.18,0.02,5.00
0.35,4.87,10.13
-0.17,4.35,9.77
0.01,3.83,9.32
-0.51,-0.32,4.73
-0.86,-1.36,4.82
-2.76,2.62,1.04
0.52,-1.02,3.74
-1.03,7.99,1.13
-5.18,-0.15,0.41
-5.18,2.97,0.59
-4.83,0.02,0.14
-5.00,0.20,0.05
-5.00,0.20,0.05
-5.00,0.02,0.05
0.01,0.02,0.05
0.01,0.02,0.05
0.01,0.02,0.05
1.04,0.72,-0.04
1.21,0.72,-0.04
0.18,0.20,0.05
0.01,0.02,0.05
0.35,0.37,4.91
1.56,0.02,5.09
-0.86,1.06,2.57
-4.83,-2.23,4.73
-7.08,-5.00,3.56
3.29,0.72,5.09
1.21,0.37,6.89
-4.14,-6.04,8.15
-0.86,-5.35,5.45
-2.59,-2.40,8.69
-1.72,-8.81,9.50
-0.86,-7.60,5.45
-0.17,-6.21,5.72
0.35,-5.52,6.35
-1.03,-8.12,5.45
-1.20,-8.81,5.27
-3.10,-7.60,6.35
-0.86,-5.35,5.90
-1.03,-1.02,4.73
0.35,0.37,5.00
-0.34,-0.50,5.00
-2.41,-3.44,4.91
-1.03,-6.21,9.14
-4.49,-1.71,10.22
-6.21,-3.27,9.95
-3.62,0.54,10.40
-1.72,0.54,10.31
0.35,0.02,9.95
0.70,0.02,9.95
-1.38,0.37,10.22
0.35,-0.15,9.95
-1.03,0.37,10.13
-1.72,0.54,10.22
-2.93,1.06,10.49
-1.55,0.72,10.22
-2.24,1.06,9.95
-4.66,0.89,9.95
0.18,0.02,5.00
0.18,-0.15,5.27
0.01,-0.15,9.95
0.18,0.20,9.95
0.18,0.20,9.95
-0.17,0.72,9.95
0.01,0.02,9.95
-5.52,-0.50,9.95
1.39,1.06,5.54
-1.89,0.54,10.04
-2.93,-5.52,9.41
-0.86,-2.92,8.69
-5.00,-0.15,10.04
0.18,-5.35,9.95
0.18,-5.00,10.04
-2.07,-7.95,9.14
-0.69,-9.85,9.41
0.35,-10.02,5.09
-1.20,-8.81,5.27
-2.59,-6.56,9.05
-2.59,-6.56,8.60
-2.93,-6.21,9.68
-5.87,-5.52,9.86
-2.59,-3.61,9.23
-2.76,-1.36,8.15
1.21,0.72,4.91
1.39,0.89,5.00
2.08,2.28,6.62
0.70,0.89,5.00
0.87,0.89,5.00
-1.89,-2.75,4.73
1.56,1.76,6.98
-6.21,4.53,9.50
-5.00,4.87,9.95
-1.89,4.70,9.77
0.01,0.02,5.00
0.01,0.02,5.00
0.18,0.02,5.27
1.21,0.37,6.53
0.18,0.02,5.27
0.18,0.02,5.00
0.35,0.20,5.18
0.18,0.02,5.00
-0.17,-0.32,5.90
-0.34,-0.15,5.45
0.01,-0.15,5.54
0.18,2.97,5.72
0.18,-0.15,5.63
-1.89,0.20,6.89
1.04,0.54,6.26
0.18,0.02,5.00
0.35,5.05,9.95
0.35,5.05,9.95
2.42,1.41,6.89
0.70,0.72,4.91
0.01,0.02,4.91
0.52,0.72,5.00
0.01,0.89,0.23
2.08,1.06,5.45
2.08,2.10,6.35
0.18,0.37,4.73
0.35,0.02,4.82
-0.69,0.54,5.18
-1.89,-4.65,4.82
-2.93,-3.27,4.46
-0.34,0.54,5.09
0.35,0.54,7.16
-3.79,-4.65,5.09
1.04,0.54,6.26
-2.59,0.20,6.62
0.87,0.20,7.52
-0.69,-0.15,5.09
0.01,-0.15,5.54
-0.69,-0.15,5.09
-0.34,-0.15,5.81
0.18,0.02,5.00
0.35,5.05,9.95
0.35,5.05,9.95
0.01,6.95,10.04
0.01,6.43,9.68
0.01,6.43,9.68
0.01,5.74,7.16
0.01,6.61,9.95
5.53,0.89,6.53
5.53,0.54,5.99
-1.38,2.28,8.51
0.87,5.91,10.22
-0.51,2.62,4.82
1.91,2.79,5.81
0.18,0.02,5.27
0.87,-0.32,5.27
2.77,-9.85,4.01
-2.24,-11.06,4.46
0.18,-11.06,4.10
-3.62,-10.54,4.55
-4.66,-10.20,4.37
5.71,-8.29,3.38
-1.38,-5.87,3.11
-5.69,-8.29,3.92
3.11,0.37,5.00
2.25,0.72,4.91
-0.51,0.89,5.27
-0.69,0.72,6.26
-2.76,-1.88,3.92
0.35,0.54,6.53
1.73,0.54,6.26
0.35,0.54,7.16
-1.72,-5.69,5.54
0.87,0.20,6.26
0.87,0.54,6.17
-0.69,0.54,7.97
0.87,-0.15,5.54
-0.69,-1.54,5.00
0.52,4.70,10.04
0.35,0.20,4.91
-0.86,0.20,5.63
-2.59,-3.96,9.14
-2.93,-6.04,9.23
-0.69,0.37,7.16
0.01,-0.15,9.95
0.18,-5.69,9.95
-0.17,0.72,8.33
0.18,0.02,5.00
0.18,0.02,5.00
0.87,0.54,5.81
-4.66,-4.83,9.23
-4.31,-5.87,8.06
-0.34,0.72,5.36
0.35,0.72,5.36
1.91,0.20,3.02
-1.20,0.37,4.55
-0.51,0.02,4.82
0.35,0.02,4.91
1.21,0.89,4.91
0.87,0.54,6.17
-0.17,-0.15,5.00
0.70,0.72,5.00
2.08,0.72,6.44
0.35,5.05,9.95
-1.38,2.97,8.78
1.04,1.06,5.18
-1.03,0.37,5.18
-1.72,-0.67,7.70
-3.62,-6.21,8.60
1.04,0.54,6.26
1.91,0.89,5.00
-0.17,0.89,5.18
4.67,-0.67,4.73
5.88,-0.50,4.82
-1.38,2.45,5.18
0.87,7.30,10.49
-0.17,0.02,4.19
-2.24,1.06,5.18
0.70,-1.71,1.76
2.08,-0.15,0.77
0.18,-2.75,3.20
0.70,-4.31,3.29
0.01,-2.75,3.11
-0.17,0.72,5.18
-0.34,0.54,5.09
-0.34,1.41,0.68
0.87,0.72,5.72
1.21,0.54,6.26
0.18,0.02,5.27
0.52,0.37,6.26
0.01,-5.69,9.86
-1.89,-3.09,8.96
0.35,0.54,7.16
1.91,0.54,6.71
-1.03,0.37,5.09
0.70,0.72,4.91
2.08,0.37,6.17
1.04,0.37,7.25
0.01,-0.15,5.90
0.01,-0.15,7.52
2.42,0.72,4.91
-0.69,-2.75,4.73
-0.69,1.06,5.36
-1.20,-0.67,4.19
2.60,0.72,4.91
5.36,-0.84,4.91
5.71,-0.50,4.82
0.01,5.05,8.69
2.60,5.39,7.79
-0.34,5.91,8.96
-0.34,5.57,9.41
0.01,5.57,9.77
0.01,6.95,10.04
-0.17,6.61,9.95
-0.17,6.26,9.68
0.01,6.43,9.68
-0.34,6.61,9.86
0.01,6.78,10.04
0.01,6.43,9.68
0.18,5.05,9.95
0.35,5.05,9.95
0.18,0.02,5.00
0.18,0.02,5.09
-0.69,-1.88,8.87
-0.86,-6.21,9.77
0.35,0.54,7.16
1.04,0.54,6.26
-3.10,-6.21,9.32
-2.76,-6.21,9.32
-2.93,-6.04,9.41
-1.03,-8.29,10.22
-0.17,-4.65,10.04
0.01,-0.15,5.54
-0.17,-0.32,9.95
0.18,0.02,5.27
0.01,-0.15,5.90
0.87,0.54,6.17
-4.14,-6.04,8.24
-3.28,-5.69,9.32
-3.28,-3.96,5.00
1.04,0.54,6.26
0.52,0.02,5.36
2.25,1.76,6.80
2.08,1.93,5.99
-0.86,4.70,8.33
0.18,4.87,9.95
-0.34,-0.15,5.00
0.18,0.02,5.00
1.04,0.37,6.80
2.42,1.06,6.44
1.21,0.54,6.26
-1.55,0.20,4.10
-0.34,0.54,5.63
-0.17,-0.15,5.09
-0.69,-0.50,5.36
4.32,0.20,4.82
-0.51,0.02,5.18
1.73,0.54,5.18
0.18,0.02,5.00
-0.69,3.83,9.23
0.35,-0.15,5.18
1.91,0.54,5.45
2.25,1.06,6.62
-1.55,-1.19,4.55
1.56,0.37,5.09
-1.55,1.58,8.24
0.01,-0.15,5.27
0.35,0.02,5.63
0.87,0.54,5.81
0.35,0.02,5.63
-3.10,-5.17,9.59
-0.51,-9.68,7.07
-2.76,-6.56,9.32
-2.93,-7.60,9.05
-4.14,-1.54,5.18
1.39,0.20,4.28
-1.89,-3.96,5.09
0.52,0.72,5.00
0.35,0.02,5.36
0.87,0.54,6.17
-0.69,0.72,5.27
0.18,0.20,4.73
0.35,0.20,5.09
0.18,0.37,0.14
0.01,0.37,0.14
0.35,0.54,0.14
0.52,0.72,5.00
1.04,1.06,5.09
0.52,-0.15,5.18
0.35,5.05,9.95
2.25,1.76,7.16
0.52,5.74,10.22
0.35,5.05,9.95
-0.86,4.70,8.33
0.35,4.53,9.86
1.91,6.95,7.79
0.35,0.72,5.18
1.91,0.54,5.27
2.42,1.41,5.27
-0.34,1.93,4.10
1.39,2.62,5.18
0.87,2.62,6.08
-3.10,6.61,4.55
-1.38,8.16,1.67
1.91,1.06,4.82
2.08,2.10,6.89
1.39,0.89,5.00
-6.21,-2.58,5.81
0.52,0.72,5.00
-3.62,-1.36,4.64
0.87,0.89,5.00
-2.07,-3.61,4.91
0.87,0.54,6.62
-2.24,-5.52,9.23
-9.32,1.76,6.98
-1.38,-6.04,9.32
-1.72,-3.27,4.82
-7.42,-0.67,5.45
-11.22,2.10,5.27
-4.49,-1.88,4.91
-4.83,3.49,0.68
-5.18,0.02,5.18
0.70,0.89,5.00
1.21,0.89,5.00
0.35,0.54,5.00
0.87,0.89,5.00
0.87,0.02,4.73
1.56,-0.84,5.27
1.73,0.37,5.00
-0.51,0.37,7.61
0.35,5.05,9.95
0.35,5.05,9.95
0.01,4.35,9.68
0.18,0.02,5.00
0.18,0.02,5.00
-1.55,-1.71,9.05
-0.86,-1.19,4.73
1.21,0.37,6.08
1.21,0.37,6.53
1.04,0.37,6.35
-2.24,-4.48,9.05
0.52,0.02,5.36
1.39,0.89,4.91
0.18,0.37,6.08
1.04,0.54,6.26
0.87,0.20,7.52
-0.17,0.37,7.52
-0.86,0.20,6.08
-0.17,-0.15,4.82
0.18,5.57,9.77
3.46,0.72,5.90
0.87,0.37,5.63
1.21,0.54,5.90
0.18,0.02,4.82
0.18,0.02,5.00
-0.17,-0.15,6.89
2.25,1.24,5.72
1.04,0.72,6.08
2.60,-3.09,3.92
0.35,0.20,5.00
0.52,0.72,5.00
0.35,0.37,5.00
4.15,-1.02,3.02
-1.03,-2.75,4.10
0.70,0.72,5.00
1.21,0.37,6.53
0.70,0.72,5.00
0.35,0.37,5.00
0.52,0.72,5.00
-1.55,-5.35,6.62
-2.59,-6.04,9.23
-2.59,-6.56,9.23
-0.17,-8.81,6.35
-0.51,-6.21,10.04
-1.03,0.89,8.69
1.21,0.54,6.26
-4.31,2.10,8.42
2.08,0.89,5.09
0.70,0.72,5.00
0.01,0.02,5.00
-0.17,-3.09,5.00
-1.03,-5.87,5.00
0.35,-4.13,5.18
0.70,0.72,5.00
-1.38,-0.15,4.01
-0.86,-0.67,5.18
-1.72,-0.15,3.92
-0.69,5.74,8.51
-0.69,6.26,8.78
0.35,5.05,9.95
0.18,0.02,5.00
0.01,-0.15,6.53
2.08,0.72,5.81
2.25,0.89,6.26
2.25,1.76,6.62
0.18,5.22,5.36
2.25,1.76,6.80
2.25,1.76,6.80
1.73,0.89,5.00
0.52,0.72,5.00
-0.34,-0.50,5.09
0.18,0.37,5.09
