s1,s2,s3,s4,s5,s6,s7,s8,x,y,z
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,358,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,358,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
410,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
409,273,357,276,240,329,214,327,0,0,0
450,287,319,333,194,380,224,268,5,0,0
450,287,319,333,194,380,224,268,5,0,0
450,287,319,333,194,380,224,268,5,0,0
450,287,319,333,194,380,224,268,5,0,0
450,287,319,333,194,380,224,268,5,0,0
450,287,319,333,194,380,225,268,5,0,0
450,287,319,333,194,380,225,268,5,0,0
450,287,319,333,194,380,225,268,5,0,0
450,288,319,333,194,380,225,268,5,0,0
450,288,319,333,194,380,225,268,5,0,0
450,288,319,333,194,380,225,268,5,0,0
450,288,319,333,194,380,225,268,5,0,0
450,288,319,333,194,380,225,268,5,0,0
450,288,319,333,194,381,225,268,5,0,0
450,288,319,333,194,381,225,268,5,0,0
450,288,319,334,194,381,225,268,5,0,0
450,288,314,336,191,387,235,268,5,0,0
450,288,314,336,191,387,235,268,5,0,0
450,288,314,336,191,387,235,268,5,0,0
450,288,314,336,191,387,235,268,5,0,0
450,288,314,336,191,387,235,268,5,0,0
450,288,314,336,191,387,235,268,5,0,0
450,288,318,334,194,381,225,268,5,0,0
450,288,318,334,193,381,225,268,5,0,0
450,288,318,334,193,381,226,268,5,0,0
450,289,318,334,193,381,226,268,5,0,0
450,289,318,334,193,381,226,268,5,0,0
450,289,318,334,193,381,226,268,5,0,0
450,289,318,334,193,381,226,268,5,0,0
450,289,318,334,193,381,226,268,5,0,0
450,289,318,334,193,381,226,268,5,0,0
450,289,318,334,193,381,226,267,5,0,0
450,289,318,334,193,381,226,267,5,0,0
450,289,318,334,193,381,226,268,5,0,0
450,289,318,334,193,382,226,268,5,0,0
450,290,316,335,192,382,228,267,5,0,0
450,290,316,335,192,382,228,267,5,0,0
450,290,316,335,192,382,228,267,5,0,0
450,290,316,335,192,382,228,267,5,0,0
450,290,316,335,192,382,228,267,5,0,0
450,290,316,335,192,382,228,267,5,0,0
450,290,316,335,192,382,228,267,5,0,0
450,290,316,335,192,382,228,267,5,0,0
450,290,316,335,192,382,228,267,5,0,0
451,290,316,335,192,382,228,267,5,0,0
451,290,316,335,192,382,228,267,5,0,0
451,290,316,335,192,382,228,267,5,0,0
451,290,316,335,192,382,228,267,5,0,0
451,290,316,335,192,382,228,267,5,0,0
451,290,316,335,192,382,228,267,5,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
488,322,281,397,162,437,272,218,10,0,0
488,322,280,397,162,437,272,218,10,0,0
488,322,280,397,162,437,272,218,10,0,0
488,322,280,397,162,437,272,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,279,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
489,324,280,398,161,437,270,218,10,0,0
508,357,269,443,158,473,316,202,15,0,0
508,358,269,443,158,473,317,202,15,0,0
508,358,269,443,158,474,317,201,15,0,0
508,358,269,444,158,474,317,201,15,0,0
508,358,269,444,158,474,317,201,15,0,0
508,358,269,444,158,474,317,201,15,0,0
508,358,269,444,158,474,317,201,15,0,0
509,358,269,444,158,474,317,201,15,0,0
509,358,269,444,158,475,317,201,15,0,0
509,358,269,444,158,475,317,201,15,0,0
509,359,269,444,158,475,318,201,15,0,0
509,359,268,444,158,475,318,200,15,0,0
510,359,268,444,158,475,318,200,15,0,0
510,359,268,444,158,475,318,200,15,0,0
515,364,265,450,158,481,324,200,15,0,0
515,364,265,450,158,481,324,200,15,0,0
515,364,265,450,158,481,324,200,15,0,0
515,364,265,450,158,481,324,200,15,0,0
515,364,265,449,158,481,324,200,15,0,0
515,364,265,449,158,481,324,200,15,0,0
515,364,265,449,158,481,324,200,15,0,0
510,360,267,445,158,475,319,200,15,0,0
510,360,267,445,158,475,319,200,15,0,0
510,360,267,445,158,475,319,200,15,0,0
510,360,267,445,158,476,319,200,15,0,0
510,360,267,445,158,476,319,200,15,0,0
510,360,267,446,158,476,319,200,15,0,0
510,360,267,446,158,476,319,200,15,0,0
510,360,267,445,158,476,319,200,15,0,0
510,360,267,445,158,476,319,200,15,0,0
510,360,267,445,158,476,319,200,15,0,0
510,360,267,446,158,476,320,199,15,0,0
511,360,266,446,158,477,319,199,15,0,0
511,360,266,446,158,477,319,199,15,0,0
511,360,266,446,158,477,319,199,15,0,0
511,360,266,446,158,477,319,199,15,0,0
511,360,266,446,158,477,319,199,15,0,0
511,360,266,446,158,477,319,199,15,0,0
511,360,266,446,158,477,319,199,15,0,0
511,360,266,446,158,477,319,199,15,0,0
511,360,266,446,158,477,320,199,15,0,0
511,361,266,446,158,477,320,199,15,0,0
511,361,266,446,158,477,320,199,15,0,0
511,361,266,446,157,477,320,199,15,0,0
511,361,266,446,157,477,320,199,15,0,0
511,361,266,446,157,477,320,199,15,0,0
511,361,265,446,158,477,320,199,15,0,0
511,361,265,446,157,477,320,199,15,0,0
511,361,265,446,157,477,320,199,15,0,0
511,361,265,446,157,477,320,199,15,0,0
531,396,262,479,166,501,369,196,20,0,0
531,396,262,479,166,501,369,196,20,0,0
531,396,262,479,166,502,369,196,20,0,0
532,397,262,480,167,502,369,197,20,0,0
532,397,262,479,167,502,370,197,20,0,0
532,397,262,480,167,502,370,197,20,0,0
532,397,262,480,167,502,370,197,20,0,0
532,397,262,480,167,502,370,197,20,0,0
532,398,262,480,167,502,370,197,20,0,0
532,398,262,480,167,502,370,197,20,0,0
532,398,262,480,167,503,371,197,20,0,0
532,398,262,480,168,503,371,197,20,0,0
532,398,262,480,168,503,371,197,20,0,0
532,398,262,481,168,503,371,197,20,0,0
533,398,262,481,168,503,371,197,20,0,0
533,399,262,481,168,503,371,197,20,0,0
533,399,262,481,168,503,371,197,20,0,0
533,399,262,481,168,503,371,197,20,0,0
533,399,262,482,168,504,371,197,20,0,0
533,399,262,482,168,504,371,197,20,0,0
533,399,262,482,168,504,372,197,20,0,0
533,399,262,482,168,504,372,197,20,0,0
533,399,262,482,169,504,372,197,20,0,0
533,399,262,482,169,504,372,197,20,0,0
533,400,262,482,169,504,372,197,20,0,0
533,400,262,483,169,505,372,197,20,0,0
533,400,262,483,169,505,372,197,20,0,0
533,400,262,483,169,505,372,197,20,0,0
533,400,262,483,169,505,372,197,20,0,0
533,400,262,483,169,505,372,197,20,0,0
533,400,262,483,169,505,373,197,20,0,0
534,400,262,483,169,505,373,197,20,0,0
534,400,262,484,170,505,373,197,20,0,0
534,401,262,484,170,505,373,197,20,0,0
534,401,262,484,170,506,373,197,20,0,0
541,411,266,493,179,517,383,197,20,0,0
541,411,266,493,179,517,383,197,20,0,0
541,411,266,493,179,517,383,197,20,0,0
541,411,266,493,179,517,383,197,20,0,0
541,411,266,493,179,517,383,197,20,0,0
541,411,266,493,179,517,383,197,20,0,0
541,411,266,493,179,517,383,197,20,0,0
541,411,266,493,179,517,383,197,20,0,0
535,401,262,484,170,507,374,197,20,0,0
535,401,262,484,170,507,374,197,20,0,0
535,401,262,484,170,507,374,197,20,0,0
535,401,262,484,170,507,374,197,20,0,0
535,401,262,484,170,507,374,197,20,0,0
535,402,262,484,170,507,374,197,20,0,0
535,402,262,484,170,507,374,197,20,0,0
361,272,402,220,298,276,217,384,-5,0,0
361,272,402,220,298,276,217,384,-5,0,0
361,272,402,220,298,276,217,384,-5,0,0
361,272,402,220,298,276,217,384,-5,0,0
361,272,402,220,298,276,217,384,-5,0,0
361,272,402,220,298,276,217,384,-5,0,0
361,272,402,220,298,276,217,384,-5,0,0
361,271,402,220,298,276,217,384,-5,0,0
361,271,402,220,298,276,217,384,-5,0,0
361,271,402,220,298,275,217,384,-5,0,0
361,271,402,220,298,275,217,384,-5,0,0
361,271,402,220,298,275,217,384,-5,0,0
361,271,402,220,298,275,217,384,-5,0,0
361,272,403,220,298,275,217,384,-5,0,0
360,272,402,220,298,275,217,385,-5,0,0
360,272,403,220,298,275,217,385,-5,0,0
360,272,402,220,298,275,217,385,-5,0,0
360,272,402,220,298,275,217,385,-5,0,0
360,272,403,220,299,275,217,385,-5,0,0
360,272,403,220,299,275,217,385,-5,0,0
362,274,406,220,302,272,217,385,-5,0,0
362,274,406,220,302,272,217,385,-5,0,0
362,274,406,220,302,272,217,385,-5,0,0
360,272,403,220,299,275,217,384,-5,0,0
360,272,403,220,299,275,217,385,-5,0,0
360,272,403,220,299,275,217,385,-5,0,0
360,272,403,220,299,275,217,385,-5,0,0
360,272,403,220,299,275,217,385,-5,0,0
360,272,403,219,299,275,217,385,-5,0,0
360,272,403,219,299,275,217,385,-5,0,0
360,272,403,219,299,275,217,385,-5,0,0
360,272,403,219,299,275,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
360,272,403,219,299,274,217,385,-5,0,0
327,286,445,186,360,234,234,436,-10,0,0
327,286,445,186,360,234,234,436,-10,0,0
327,286,445,186,360,234,234,436,-10,0,0
327,286,445,186,360,234,234,436,-10,0,0
327,286,445,185,360,234,234,436,-10,0,0
327,286,445,185,360,234,234,436,-10,0,0
327,286,445,185,360,233,234,436,-10,0,0
325,293,449,183,363,229,234,436,-10,0,0
325,293,449,183,363,229,234,436,-10,0,0
326,287,446,185,361,233,234,436,-10,0,0
326,287,446,185,361,233,234,436,-10,0,0
326,287,446,185,361,233,234,436,-10,0,0
326,287,446,185,361,233,235,436,-10,0,0
326,287,446,185,361,233,235,436,-10,0,0
326,287,446,185,361,233,235,436,-10,0,0
326,287,446,184,361,232,235,436,-10,0,0
326,288,446,184,361,232,235,436,-10,0,0
326,288,447,184,361,232,235,436,-10,0,0
325,288,447,184,361,232,235,436,-10,0,0
325,288,447,184,361,232,235,436,-10,0,0
325,288,447,184,362,232,235,436,-10,0,0
325,288,447,184,362,232,235,436,-10,0,0
325,288,447,184,361,232,235,436,-10,0,0
325,288,447,184,362,232,235,436,-10,0,0
325,288,447,184,362,232,236,436,-10,0,0
325,288,447,184,362,232,236,436,-10,0,0
325,288,447,184,362,232,236,436,-10,0,0
325,288,447,184,362,232,236,436,-10,0,0
325,288,447,184,362,232,236,436,-10,0,0
325,289,447,184,362,232,236,436,-10,0,0
325,289,447,184,362,231,236,436,-10,0,0
325,289,447,184,362,231,236,437,-10,0,0
325,289,448,183,362,231,236,439,-10,0,0
325,289,448,183,362,231,236,437,-10,0,0
324,289,448,183,362,231,236,437,-10,0,0
324,289,448,183,362,231,236,437,-10,0,0
324,289,448,183,362,231,236,437,-10,0,0
324,289,448,183,362,231,236,437,-10,0,0
324,289,448,183,362,231,236,437,-10,0,0
324,289,448,183,362,231,236,437,-10,0,0
325,293,449,183,363,229,241,437,-10,0,0
325,293,449,183,363,229,241,437,-10,0,0
