x,y,z
-0.17,-20.08,-0.07
0.18,-10.11,-0.07
-4.87,-15.01,0.02
9.77,-9.94,-0.07
0.01,0.20,4.93
9.77,-9.94,-0.07
4.89,-4.87,4.84
9.77,-10.11,5.02
9.59,-4.87,-0.07
9.94,9.99,4.93
0.01,9.99,-0.07
9.94,0.02,0.02
0.01,0.02,0.02
-9.93,-0.15,5.20
-14.81,4.92,-0.07
5.06,-15.18,-0.16
9.77,-9.94,-0.07
9.77,-9.94,9.93
0.01,0.02,0.02
0.18,-10.11,-0.07
9.59,-9.94,0.02
-4.87,4.92,0.02
0.18,-10.11,-0.07
-14.81,4.92,-0.07
9.94,0.02,0.02
-9.93,-0.15,0.02
-0.17,0.20,4.93
4.89,-4.87,0.02
0.18,-10.11,5.02
0.18,-9.94,14.93
9.94,9.99,0.02
-9.93,-0.15,0.02
-5.05,-0.15,0.02
0.01,9.99,-0.07
0.18,4.57,0.02
10.12,9.81,5.02
-5.05,-0.15,0.02
9.59,-4.87,-0.07
9.77,-9.94,-0.07
0.01,-14.66,-0.07
6.11,-0.15,0.02
-14.81,4.92,-0.07
-4.87,-0.15,14.74
0.01,9.99,-0.07
-4.87,14.88,0.02
9.77,-9.94,-0.07
6.11,-0.15,0.02
9.94,9.99,0.02
9.94,9.99,0.02
6.11,-0.15,0.02
9.77,0.37,15.11
-9.93,9.81,5.02
9.94,10.16,0.02
6.11,-0.15,0.02
-9.58,-10.46,5.02
-9.93,-5.04,0.02
6.11,-0.15,0.02
0.01,-20.08,-0.07
9.77,-9.94,-0.07
0.01,0.20,5.02
-9.93,-10.29,4.93
9.77,-9.94,-0.07
5.06,14.88,0.02
0.01,0.02,0.02
4.89,-4.87,0.02
-9.93,-10.11,5.02
0.01,0.02,0.02
-9.93,-9.94,9.93
9.94,0.02,0.02
-19.86,0.02,-0.07
9.77,-9.94,-0.07
9.94,0.02,0.02
-9.93,-9.94,5.02
0.01,9.99,-0.07
-9.93,-0.15,0.02
-10.10,-9.76,0.02
-10.10,-9.76,0.02
9.94,0.02,0.02
0.18,-9.94,5.02
0.01,-15.18,10.11
9.94,9.99,0.02
0.01,-5.22,9.93
14.82,-14.83,0.02
-14.81,4.92,-0.07
9.77,9.99,-0.25
0.18,-9.94,-0.07
-9.75,4.92,0.11
0.01,0.02,0.02
-14.63,9.99,0.02
5.06,14.88,0.02
0.01,9.99,-0.07
0.01,-5.04,0.02
0.18,-10.11,5.02
10.12,14.88,0.11
6.11,-0.15,0.02
-9.93,9.81,5.02
0.01,9.99,14.93
-14.81,9.81,0.02
0.01,0.02,0.02
-9.93,-9.94,9.93
9.94,0.02,0.02
-9.93,-10.11,5.02
9.94,9.99,0.02
0.01,9.99,-0.07
-9.93,9.81,0.02
0.01,9.99,-0.07
-1.91,9.46,15.20
9.77,9.99,-0.25
9.94,9.99,0.02
-4.87,0.02,10.02
-9.93,9.81,0.02
15.00,9.99,-0.16
0.18,15.06,-0.16
15.00,9.99,-0.16
9.94,0.02,5.11
0.01,0.02,0.02
9.94,-9.94,0.02
9.77,-10.11,5.02
0.18,-10.11,-0.07
-10.10,-9.76,0.02
-9.93,9.81,0.02
9.77,-9.94,-0.07
6.11,-0.15,0.02
-14.81,4.92,-0.07
0.01,0.02,0.02
0.18,-10.11,5.02
9.94,9.99,0.02
0.01,9.99,-0.07
0.01,0.02,0.02
4.89,-4.87,0.02
-9.93,9.81,0.02
-0.17,0.20,4.93
9.94,0.20,9.93
-9.93,0.02,15.02
0.01,0.02,0.02
0.18,-9.94,-0.07
-9.93,-9.94,4.93
-4.87,14.88,0.02
9.94,10.16,0.02
9.77,-10.11,5.02
-9.93,-0.15,0.02
5.06,-15.18,-0.16
14.82,-14.83,0.02
0.18,-10.11,5.02
-9.75,4.92,0.11
-14.81,-9.94,-0.07
9.94,-9.94,0.02
-10.28,-0.15,9.93
9.94,9.99,4.93
0.01,-5.04,0.02
0.01,9.99,4.93
-9.93,9.81,5.02
0.01,0.20,5.02
-10.10,-9.76,0.02
0.18,-9.94,-0.07
0.01,9.99,-0.07
20.05,0.02,0.02
9.77,0.02,5.11
-10.10,0.20,10.11
-5.22,-5.22,14.84
0.01,0.02,9.93
9.94,0.02,0.02
-9.93,9.81,0.02
0.01,-5.04,0.02
-9.93,9.81,5.02
-9.93,-0.15,0.02
9.94,0.37,9.93
15.00,14.88,-0.16
-0.17,0.02,9.93
9.94,-9.94,0.02
-9.93,-0.15,0.02
20.23,0.20,-0.07
0.36,-10.29,14.84
10.12,9.99,0.02
-9.93,-9.94,-0.07
-9.93,-0.15,0.02
-4.87,0.20,9.93
5.24,5.09,0.02
10.12,9.99,4.93
9.94,0.02,0.02
4.89,-4.87,0.02
0.01,14.71,15.02
0.18,4.92,0.02
5.06,-15.18,-0.16
9.77,-10.11,14.93
9.77,0.02,5.11
9.77,-9.94,-0.07
0.01,0.20,5.02
-14.63,15.06,0.11
0.01,0.20,5.02
-9.93,9.64,0.02
0.18,-10.11,-0.07
0.01,0.20,5.02
-9.93,-9.94,9.93
-9.93,-4.87,-0.07
0.01,-10.11,0.02
-5.05,-0.15,0.02
9.77,-9.94,-0.07
0.01,0.02,0.02
0.01,9.99,-0.07
0.01,0.02,0.02
-5.40,5.09,10.11
0.01,0.02,0.02
9.94,0.02,9.93
-5.05,-0.15,0.02
14.65,-4.87,-0.07
0.01,0.02,0.02
9.94,0.20,9.93
-10.10,-9.76,0.02
9.94,9.99,0.02
0.18,-10.11,-0.07
0.36,-4.69,15.11
0.18,-10.11,-0.07
9.94,0.20,9.93
9.94,0.20,9.93
9.94,9.99,0.02
5.24,5.09,0.02
0.36,5.44,10.02
-9.93,-4.87,-0.07
-10.10,-9.76,0.02
0.18,-10.11,5.02
-4.87,-0.15,0.02
0.18,15.06,-0.16
9.94,9.99,4.93
5.76,0.02,0.02
9.77,-9.94,-0.07
9.94,0.02,0.02
-10.10,-9.76,0.02
-9.93,9.81,0.02
9.94,9.99,4.93
0.18,-9.94,14.93
-10.10,-9.76,0.02
9.94,9.99,0.02
10.12,9.99,0.02
0.01,9.99,-0.07
-9.93,-0.15,0.02
-9.93,-0.15,5.20
-9.93,9.81,5.02
9.77,-9.94,9.93
-9.93,-0.15,14.93
0.01,9.99,-0.07
-9.93,-0.15,5.20
-5.05,-0.15,0.02
9.94,9.99,0.02
-9.93,-9.94,9.93
9.77,-9.94,-0.07
-9.75,4.92,0.11
9.94,9.99,4.93
9.94,0.02,0.02
0.01,-5.04,0.02
-10.10,-9.76,0.02
-5.22,-0.15,14.93
0.01,0.02,0.02
-10.10,-9.76,0.02
-9.93,-0.15,5.20
5.58,-0.15,0.02
9.77,4.92,-0.07
-0.17,8.07,10.02
4.71,-0.32,15.02
-9.93,-0.15,5.20
-9.93,-9.94,-0.07
-9.93,9.81,0.02
-9.93,-0.15,0.02
0.18,-10.11,-0.07
-9.93,-0.15,0.02
-9.93,-0.15,0.02
0.01,9.99,-0.07
-9.75,-5.04,-0.07
-9.93,9.81,4.93
-9.93,9.99,0.02
9.77,-9.94,-0.07
9.77,-9.94,-0.07
0.01,9.99,-0.07
0.01,0.20,5.02
0.01,-5.04,0.02
9.94,9.99,4.93
-9.93,9.64,0.11
9.77,-9.94,9.93
0.01,0.02,0.02
9.77,-9.94,-0.07
9.77,-9.94,-0.07
0.01,9.99,-0.07
9.94,0.02,0.02
-9.93,-0.15,0.02
9.77,-9.94,-0.07
-10.10,-9.76,0.02
0.01,9.99,-0.07
0.18,-10.11,-0.07
0.01,0.20,4.93
-0.17,-9.59,0.02
-9.93,9.81,5.02
-9.93,0.02,5.11
0.18,-10.11,5.02
10.64,0.37,4.75
2.62,-1.20,4.84
0.01,0.02,0.02
5.24,5.09,0.02
-9.93,9.81,0.02
-9.93,-0.15,0.02
-4.87,-0.15,0.02
-10.10,-0.15,5.02
0.18,15.06,-0.16
10.12,0.20,4.93
4.89,4.92,14.65
0.01,9.99,10.02
0.01,0.02,0.02
9.94,0.02,9.93
0.01,-9.94,-0.07
9.94,9.99,0.02
4.89,10.16,0.21
9.77,-9.94,-0.07
0.01,9.99,-0.07
-5.22,-5.04,9.93
1.23,-10.11,-0.07
9.94,9.99,0.02
0.01,0.20,5.02
9.94,-9.94,0.02
-9.93,9.81,5.02
-9.93,9.81,10.29
0.01,0.02,0.02
9.59,-4.87,-0.07
9.94,9.99,4.93
-9.93,9.46,0.02
0.01,0.02,0.02
4.89,10.16,0.21
0.18,4.92,0.02
9.94,0.02,0.02
0.01,9.99,-0.07
-10.10,-4.87,0.11
-9.93,9.81,0.02
10.12,-9.94,0.02
0.01,4.92,0.02
-9.93,-10.11,5.02
-9.93,9.81,5.02
0.18,-10.11,5.02
0.01,4.74,0.02
0.01,9.99,5.02
5.06,-15.18,-0.16
-10.10,-9.76,0.02
0.01,9.99,5.02
9.94,9.81,15.11
-9.93,-0.15,5.20
4.89,-4.87,0.02
5.58,-0.15,0.02
9.94,0.37,9.93
9.94,9.99,10.02
9.77,-9.94,-0.07
-14.81,4.92,-0.07
0.18,-10.11,-0.07
-9.93,-0.15,5.20
9.77,-9.94,-0.07
0.01,0.02,0.02
0.01,9.99,5.02
0.01,4.74,0.02
0.01,9.99,-0.07
0.01,0.02,0.02
9.77,-9.94,-0.07
-4.87,-15.01,0.02
-4.87,-9.94,-0.07
10.47,-14.83,-0.34
-9.93,-9.94,4.93
-5.05,-0.15,0.02
-9.93,-9.94,-0.07
-9.75,4.92,0.11
9.94,9.99,0.02
-9.93,9.81,0.02
-5.05,-0.15,0.02
-14.81,-15.01,0.02
9.94,0.02,0.02
0.01,0.02,0.02
5.24,5.09,0.02
-9.93,14.88,0.11
-14.81,-0.15,5.11
0.01,0.02,0.02
-14.81,-15.01,0.02
9.77,-9.94,-0.07
-9.93,-0.15,0.02
9.77,-9.94,-0.07
9.94,9.99,4.93
0.01,0.20,4.93
9.77,-10.11,5.02
6.11,-0.15,0.02
9.94,9.99,0.02
0.18,15.06,-0.16
9.94,10.16,0.02
9.94,9.99,0.02
-9.93,-0.15,0.02
-9.93,-0.15,0.02
-4.87,14.88,0.02
9.94,-9.94,0.02
-9.93,9.64,0.02
0.01,9.99,-0.07
9.94,0.02,0.02
0.01,-5.04,0.02
-10.10,-10.11,15.02
-9.93,-0.15,5.20
0.18,-9.94,-0.07
-9.93,9.81,15.02
-4.87,-9.94,-0.07
-9.93,9.81,0.02
-9.93,-9.94,-0.07
9.77,-9.94,9.93
9.94,0.02,0.02
-5.05,-0.15,0.02
-9.93,-0.15,5.20
0.01,9.99,-0.07
0.01,-9.94,-0.07
-9.93,-0.15,0.02
0.01,-10.11,4.84
-9.93,-0.15,0.02
9.94,9.99,4.93
-9.93,-0.15,0.02
9.94,9.99,0.02
-10.10,-9.76,0.02
-9.93,-0.15,0.02
-10.10,0.20,10.11
-9.93,14.88,0.11
0.18,-10.11,5.02
14.82,0.20,0.11
0.01,0.02,0.02
0.01,-9.94,-0.07
0.36,5.44,10.02
-9.75,4.92,0.11
9.77,9.99,-0.25
14.82,-4.87,-0.07
9.94,10.16,0.02
-4.87,-15.01,0.02
9.94,0.02,0.02
6.11,-0.15,0.02
-9.93,9.81,0.02
-10.10,-9.76,0.02
-5.05,0.20,4.84
-9.93,-0.15,0.02
-9.93,-10.11,5.02
-0.17,19.78,0.02
-9.93,9.46,0.02
9.77,-9.94,9.93
-9.93,-0.15,0.02
0.01,0.02,0.02
0.01,0.02,0.02
-9.75,-5.04,-0.07
0.01,-5.04,0.02
14.82,0.20,0.11
9.94,9.99,0.02
-10.10,0.20,10.11
-9.93,-0.15,0.02
0.18,-10.11,-0.07
0.01,9.99,-0.07
-9.93,9.64,0.02
0.53,-9.94,4.75
9.77,-9.94,-0.07
4.71,4.92,5.11
0.01,0.02,0.02
-5.05,-0.15,0.02
-9.93,9.81,0.02
-14.98,-0.15,-0.07
9.94,0.02,5.11
9.94,0.02,0.02
9.94,9.99,4.93
9.94,9.99,0.02
0.18,-15.01,14.93
9.77,-10.11,5.02
0.18,-15.18,5.02
0.18,15.06,-0.16
0.18,-10.11,5.02
9.77,-9.94,-0.07
-10.10,-9.76,0.02
0.18,-10.11,5.02
0.01,9.99,-0.07
-9.75,9.81,10.38
0.01,9.99,-0.07
9.77,-10.11,5.02
0.01,0.02,0.02
0.18,4.92,0.02
-10.10,-9.76,0.02
-14.63,9.64,0.02
9.94,9.99,0.02
-0.17,-9.94,-0.07
9.77,-9.94,-0.07
0.01,9.99,10.02
0.18,4.92,4.84
-9.93,-0.15,0.02
9.94,9.99,0.02
-5.22,4.74,0.02
0.18,-10.11,5.02
0.01,0.02,0.02
-9.93,-9.94,9.93
-9.93,-0.15,0.02
-10.28,-0.32,9.93
-9.93,9.81,0.02
15.00,-0.15,15.02
0.01,0.02,0.02
9.94,0.02,0.02
-9.93,-0.15,0.02
9.94,9.99,0.02
0.01,0.02,0.02
9.77,-9.94,-0.07
-14.29,0.02,14.93
-10.28,-0.32,9.93
0.01,9.99,4.93
-14.98,-0.15,-0.07
-5.05,-0.15,0.02
-5.05,-0.15,0.02
0.01,9.99,-0.07
-5.22,-5.22,14.84
-9.93,-9.94,4.93
0.01,-5.04,0.02
-10.10,-9.76,0.02
-10.10,-9.94,15.11
9.77,-10.11,5.02
-14.63,9.64,0.02
9.77,-9.94,-0.07
-9.93,-9.94,9.93
-14.81,4.92,-0.07
9.77,-10.11,5.02
0.18,-10.11,-0.07
-9.93,9.81,0.02
14.65,-4.87,-0.07
-19.86,-0.15,-0.07
15.00,0.20,0.02
9.77,-9.94,-0.07
-9.93,9.81,5.02
0.01,9.99,-0.07
-4.87,0.02,9.93
9.77,-9.94,-0.07
-5.05,-0.15,0.02
6.11,-0.15,0.02
0.18,-10.11,-0.07
